unit,n_portion,sex,age,country,time,value
PC,0,F,TOTAL,AT,2019 ,29.1
PC,0,F,TOTAL,BE,2019 ,17.1
PC,0,F,TOTAL,BG,2019 ,54.2
PC,0,F,TOTAL,CY,2019 ,32.7
PC,0,F,TOTAL,CZ,2019 ,49.6
PC,0,F,TOTAL,DE,2019 ,25.8
PC,0,F,TOTAL,DK,2019 ,42.0
PC,0,F,TOTAL,EE,2019 ,42.2
PC,0,F,TOTAL,EL,2019 ,35.1
PC,0,F,TOTAL,ES,2019 ,20.9
PC,0,F,TOTAL,EU27_2020,2019 ,28.4
PC,0,F,TOTAL,EU28,2019 ,
PC,0,F,TOTAL,FI,2019 ,39.9
PC,0,F,TOTAL,FR,2019 ,20.6
PC,0,F,TOTAL,HR,2019 ,26.3
PC,0,F,TOTAL,HU,2019 ,34.5
PC,0,F,TOTAL,IE,2019 ,24.5
PC,0,F,TOTAL,IS,2019 ,31.7
PC,0,F,TOTAL,IT,2019 ,22.0
PC,0,F,TOTAL,LT,2019 ,46.9
PC,0,F,TOTAL,LU,2019 ,44.4
PC,0,F,TOTAL,LV,2019 ,61.9
PC,0,F,TOTAL,MT,2019 ,32.1
PC,0,F,TOTAL,NL,2019 ,39.2
PC,0,F,TOTAL,NO,2019 ,28.4
PC,0,F,TOTAL,PL,2019 ,42.9
PC,0,F,TOTAL,PT,2019 ,25.2
PC,0,F,TOTAL,RO,2019 ,79.0
PC,0,F,TOTAL,RS,2019 ,47.2
PC,0,F,TOTAL,SE,2019 ,34.2
PC,0,F,TOTAL,SI,2019 ,24.5
PC,0,F,TOTAL,SK,2019 ,46.0
PC,0,F,TOTAL,TR,2019 ,37.1
PC,0,F,TOTAL,UK,2019 ,
PC,0,F,Y15-19,AT,2019 ,
PC,0,F,Y15-19,BE,2019 ,
PC,0,F,Y15-19,BG,2019 ,
PC,0,F,Y15-19,CY,2019 ,
PC,0,F,Y15-19,CZ,2019 ,
PC,0,F,Y15-19,DE,2019 ,
PC,0,F,Y15-19,DK,2019 ,
PC,0,F,Y15-19,EE,2019 ,
PC,0,F,Y15-19,EL,2019 ,
PC,0,F,Y15-19,ES,2019 ,
PC,0,F,Y15-19,EU28,2019 ,
PC,0,F,Y15-19,FI,2019 ,
PC,0,F,Y15-19,FR,2019 ,
PC,0,F,Y15-19,HR,2019 ,
PC,0,F,Y15-19,HU,2019 ,
PC,0,F,Y15-19,IE,2019 ,
PC,0,F,Y15-19,IS,2019 ,
PC,0,F,Y15-19,IT,2019 ,
PC,0,F,Y15-19,LT,2019 ,
PC,0,F,Y15-19,LU,2019 ,
PC,0,F,Y15-19,LV,2019 ,
PC,0,F,Y15-19,MT,2019 ,
PC,0,F,Y15-19,NL,2019 ,
PC,0,F,Y15-19,NO,2019 ,
PC,0,F,Y15-19,PL,2019 ,
PC,0,F,Y15-19,PT,2019 ,
PC,0,F,Y15-19,RO,2019 ,
PC,0,F,Y15-19,SE,2019 ,
PC,0,F,Y15-19,SI,2019 ,
PC,0,F,Y15-19,SK,2019 ,
PC,0,F,Y15-19,TR,2019 ,
PC,0,F,Y15-19,UK,2019 ,
PC,0,F,Y15-24,AT,2019 ,37.6
PC,0,F,Y15-24,BE,2019 ,23.5
PC,0,F,Y15-24,BG,2019 ,43.9
PC,0,F,Y15-24,CY,2019 ,39.3
PC,0,F,Y15-24,CZ,2019 ,42.2
PC,0,F,Y15-24,DE,2019 ,30.1
PC,0,F,Y15-24,DK,2019 ,48.6
PC,0,F,Y15-24,EE,2019 ,44.9
PC,0,F,Y15-24,EL,2019 ,27.4
